iter	Passed	Remaining
855	2068	348
856	2071	345
857	2073	343
858	2076	340
859	2078	338
860	2080	335
861	2082	333
862	2085	331
863	2087	328
864	2089	326
865	2091	323
866	2094	321
867	2096	318
868	2098	316
869	2100	313
870	2103	311
871	2105	309
872	2107	306
873	2109	304
874	2112	301
875	2114	299
876	2117	296
877	2119	294
878	2121	292
879	2123	289
880	2126	287
881	2128	284
882	2130	282
883	2132	279
884	2134	277
885	2137	274
886	2139	272
887	2141	270
888	2143	267
889	2145	265
890	2148	262
891	2150	260
892	2153	257
893	2155	255
894	2157	253
895	2159	250
896	2162	248
897	2164	245
898	2166	243
899	2168	240
900	2171	238
901	2173	236
902	2175	233
903	2179	231
904	2181	229
905	2184	226
906	2187	224
907	2190	221
908	2193	219
909	2196	217
910	2199	214
911	2202	212
912	2205	210
913	2207	207
914	2210	205
915	2212	202
916	2214	200
917	2216	198
918	2219	195
919	2221	193
920	2224	190
921	2226	188
922	2228	185
923	2230	183
924	2233	181
925	2235	178
926	2237	176
927	2239	173
928	2242	171
929	2244	168
930	2246	166
931	2248	164
932	2250	161
933	2253	159
934	2255	156
935	2257	154
936	2260	151
937	2262	149
938	2264	147
939	2266	144
940	2269	142
941	2271	139
942	2273	137
943	2275	135
944	2278	132
945	2280	130
946	2282	127
947	2284	125
948	2286	122
949	2289	120
950	2291	118
951	2293	115
952	2295	113
953	2297	110
954	2299	108
955	2301	105
956	2304	103
957	2306	101
958	2308	98
959	2311	96
960	2313	93
961	2315	91
962	2317	89
963	2320	86
964	2322	84
965	2324	81
966	2326	79
967	2329	76
968	2331	74
969	2333	72
970	2335	69
971	2338	67
972	2340	64
973	2342	62
974	2344	60
975	2346	57
976	2349	55
977	2351	52
978	2353	50
979	2355	48
980	2357	45
981	2359	43
982	2362	40
983	2364	38
984	2366	36
985	2369	33
986	2371	31
987	2373	28
988	2375	26
989	2378	24
990	2380	21
991	2382	19
992	2384	16
993	2386	14
994	2389	12
995	2391	9
996	2393	7
997	2395	4
998	2397	2
999	2400	0
